subcategory,result_descriptions
Business/System Analyst,application programming programming database database programming application design development testing software development analyst application design development testing analyst programming software development
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Engineering - Software,monitor analyze design develop software maintain software installation maintenance security monitor troubleshoot engage programmer programming php framework windows report report ssrs sql server reporting microsoft sql database iis web server analytical logical
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor handson architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro cctv control network internet network troubleshoot mobile engineering troubleshooting manage monitor configuring testing maintain application software management monitor application developer maintain security backup rd
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro engineer troubleshooting engineer linux
Business/System Analyst,erp management oracle netsuite decisionmaking erp maintenance erp application software develop report develop develop creative develop
Program & Project Management,maintain management management report report database education telecommunication electronic engineering chinese telecommunications office excel office software have management
Business/System Analyst,analyst programming sql query
Testing & Quality Assurance,
Business/System Analyst,nan
Network & System Administration,
Business/System Analyst,nan
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,analyst programming sql query
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Network & System Administration,
Business/System Analyst,analyst programming sql query
Engineering - Hardware,troubleshoot device server maintenance installation script report report report warehouse manage warehouse stock science security network engineering chinese computerserver hardware engineer server maintenance engineer helpdesk server hardware architecture troubleshooting hardware serverscomputer server linux vmware windows server server linux cli server engineer
Network & System Administration,microsoft administrator office software administrator office
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Network & System Administration,maintain designing server maintain app server database monitor server education engineering science linux administration mariadb aws linux server installation administration vmserver setting grafana zabbix aws cloudwatch installation administration database mysql postgresql server office administrator linux software development linux sysadmin
Network & System Administration,software analyze develop technological application application software maintenance monitoring application software application software report application software management engineeringinformation apisautomation application
Program & Project Management,management management monitoring control manage financial financial banking network manage emv europay mastercard visa tokenization mobile development financial pci dss security psd revise directive issuing platform issuing platform financial manage authorization management financial security management security financial security pmp management security pci management financial management electronic scrum agile
Business/System Analyst,application programming programming database database programming application design development testing software development analyst application design development testing analyst programming software development
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Engineering - Software,monitor analyze design develop software maintain software installation maintenance security monitor troubleshoot engage programmer programming php framework windows report report ssrs sql server reporting microsoft sql database iis web server analytical logical
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor handson architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro cctv control network internet network troubleshoot mobile engineering troubleshooting manage monitor configuring testing maintain application software management monitor application developer maintain security backup rd
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro engineer troubleshooting engineer linux
Business/System Analyst,erp management oracle netsuite decisionmaking erp maintenance erp application software develop report develop develop creative develop
Program & Project Management,maintain management management report report database education telecommunication electronic engineering chinese telecommunications office excel office software have management
Business/System Analyst,analyst programming sql query
Testing & Quality Assurance,
Business/System Analyst,nan
Network & System Administration,
Business/System Analyst,nan
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,analyst programming sql query
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Network & System Administration,
Business/System Analyst,analyst programming sql query
Engineering - Hardware,troubleshoot device server maintenance installation script report report report warehouse manage warehouse stock science security network engineering chinese computerserver hardware engineer server maintenance engineer helpdesk server hardware architecture troubleshooting hardware serverscomputer server linux vmware windows server server linux cli server engineer
Network & System Administration,microsoft administrator office software administrator office
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Network & System Administration,maintain designing server maintain app server database monitor server education engineering science linux administration mariadb aws linux server installation administration vmserver setting grafana zabbix aws cloudwatch installation administration database mysql postgresql server office administrator linux software development linux sysadmin
Network & System Administration,software analyze develop technological application application software maintenance monitoring application software application software report application software management engineeringinformation apisautomation application
Program & Project Management,management management monitoring control manage financial financial banking network manage emv europay mastercard visa tokenization mobile development financial pci dss security psd revise directive issuing platform issuing platform financial manage authorization management financial security management security financial security pmp management security pci management financial management electronic scrum agile
Business/System Analyst,application programming programming database database programming application design development testing software development analyst application design development testing analyst programming software development
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Engineering - Software,monitor analyze design develop software maintain software installation maintenance security monitor troubleshoot engage programmer programming php framework windows report report ssrs sql server reporting microsoft sql database iis web server analytical logical
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor handson architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro cctv control network internet network troubleshoot mobile engineering troubleshooting manage monitor configuring testing maintain application software management monitor application developer maintain security backup rd
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro engineer troubleshooting engineer linux
Business/System Analyst,erp management oracle netsuite decisionmaking erp maintenance erp application software develop report develop develop creative develop
Program & Project Management,maintain management management report report database education telecommunication electronic engineering chinese telecommunications office excel office software have management
Business/System Analyst,analyst programming sql query
Testing & Quality Assurance,
Business/System Analyst,nan
Network & System Administration,
Business/System Analyst,nan
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,analyst programming sql query
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Network & System Administration,
Business/System Analyst,analyst programming sql query
Engineering - Hardware,troubleshoot device server maintenance installation script report report report warehouse manage warehouse stock science security network engineering chinese computerserver hardware engineer server maintenance engineer helpdesk server hardware architecture troubleshooting hardware serverscomputer server linux vmware windows server server linux cli server engineer
Network & System Administration,microsoft administrator office software administrator office
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Network & System Administration,maintain designing server maintain app server database monitor server education engineering science linux administration mariadb aws linux server installation administration vmserver setting grafana zabbix aws cloudwatch installation administration database mysql postgresql server office administrator linux software development linux sysadmin
Network & System Administration,software analyze develop technological application application software maintenance monitoring application software application software report application software management engineeringinformation apisautomation application
Program & Project Management,management management monitoring control manage financial financial banking network manage emv europay mastercard visa tokenization mobile development financial pci dss security psd revise directive issuing platform issuing platform financial manage authorization management financial security management security financial security pmp management security pci management financial management electronic scrum agile
Business/System Analyst,application programming programming database database programming application design development testing software development analyst application design development testing analyst programming software development
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Engineering - Software,monitor analyze design develop software maintain software installation maintenance security monitor troubleshoot engage programmer programming php framework windows report report ssrs sql server reporting microsoft sql database iis web server analytical logical
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor handson architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro cctv control network internet network troubleshoot mobile engineering troubleshooting manage monitor configuring testing maintain application software management monitor application developer maintain security backup rd
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro engineer troubleshooting engineer linux
Business/System Analyst,erp management oracle netsuite decisionmaking erp maintenance erp application software develop report develop develop creative develop
Program & Project Management,maintain management management report report database education telecommunication electronic engineering chinese telecommunications office excel office software have management
Business/System Analyst,analyst programming sql query
Testing & Quality Assurance,
Business/System Analyst,nan
Network & System Administration,
Business/System Analyst,nan
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,analyst programming sql query
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Network & System Administration,
Business/System Analyst,analyst programming sql query
Engineering - Hardware,troubleshoot device server maintenance installation script report report report warehouse manage warehouse stock science security network engineering chinese computerserver hardware engineer server maintenance engineer helpdesk server hardware architecture troubleshooting hardware serverscomputer server linux vmware windows server server linux cli server engineer
Network & System Administration,microsoft administrator office software administrator office
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Network & System Administration,maintain designing server maintain app server database monitor server education engineering science linux administration mariadb aws linux server installation administration vmserver setting grafana zabbix aws cloudwatch installation administration database mysql postgresql server office administrator linux software development linux sysadmin
Network & System Administration,software analyze develop technological application application software maintenance monitoring application software application software report application software management engineeringinformation apisautomation application
Program & Project Management,management management monitoring control manage financial financial banking network manage emv europay mastercard visa tokenization mobile development financial pci dss security psd revise directive issuing platform issuing platform financial manage authorization management financial security management security financial security pmp management security pci management financial management electronic scrum agile
Business/System Analyst,application programming programming database database programming application design development testing software development analyst application design development testing analyst programming software development
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Engineering - Software,monitor analyze design develop software maintain software installation maintenance security monitor troubleshoot engage programmer programming php framework windows report report ssrs sql server reporting microsoft sql database iis web server analytical logical
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor handson architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro cctv control network internet network troubleshoot mobile engineering troubleshooting manage monitor configuring testing maintain application software management monitor application developer maintain security backup rd
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro engineer troubleshooting engineer linux
Business/System Analyst,erp management oracle netsuite decisionmaking erp maintenance erp application software develop report develop develop creative develop
Program & Project Management,maintain management management report report database education telecommunication electronic engineering chinese telecommunications office excel office software have management
Business/System Analyst,analyst programming sql query
Testing & Quality Assurance,
Business/System Analyst,nan
Network & System Administration,
Business/System Analyst,nan
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,analyst programming sql query
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Network & System Administration,
Business/System Analyst,analyst programming sql query
Engineering - Hardware,troubleshoot device server maintenance installation script report report report warehouse manage warehouse stock science security network engineering chinese computerserver hardware engineer server maintenance engineer helpdesk server hardware architecture troubleshooting hardware serverscomputer server linux vmware windows server server linux cli server engineer
Network & System Administration,microsoft administrator office software administrator office
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Network & System Administration,maintain designing server maintain app server database monitor server education engineering science linux administration mariadb aws linux server installation administration vmserver setting grafana zabbix aws cloudwatch installation administration database mysql postgresql server office administrator linux software development linux sysadmin
Network & System Administration,software analyze develop technological application application software maintenance monitoring application software application software report application software management engineeringinformation apisautomation application
Program & Project Management,management management monitoring control manage financial financial banking network manage emv europay mastercard visa tokenization mobile development financial pci dss security psd revise directive issuing platform issuing platform financial manage authorization management financial security management security financial security pmp management security pci management financial management electronic scrum agile
Business/System Analyst,application programming programming database database programming application design development testing software development analyst application design development testing analyst programming software development
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Engineering - Software,monitor analyze design develop software maintain software installation maintenance security monitor troubleshoot engage programmer programming php framework windows report report ssrs sql server reporting microsoft sql database iis web server analytical logical
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor handson architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro cctv control network internet network troubleshoot mobile engineering troubleshooting manage monitor configuring testing maintain application software management monitor application developer maintain security backup rd
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro engineer troubleshooting engineer linux
Business/System Analyst,erp management oracle netsuite decisionmaking erp maintenance erp application software develop report develop develop creative develop
Program & Project Management,maintain management management report report database education telecommunication electronic engineering chinese telecommunications office excel office software have management
Business/System Analyst,analyst programming sql query
Testing & Quality Assurance,
Business/System Analyst,nan
Network & System Administration,
Business/System Analyst,nan
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,analyst programming sql query
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Network & System Administration,
Business/System Analyst,analyst programming sql query
Engineering - Hardware,troubleshoot device server maintenance installation script report report report warehouse manage warehouse stock science security network engineering chinese computerserver hardware engineer server maintenance engineer helpdesk server hardware architecture troubleshooting hardware serverscomputer server linux vmware windows server server linux cli server engineer
Network & System Administration,microsoft administrator office software administrator office
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Network & System Administration,maintain designing server maintain app server database monitor server education engineering science linux administration mariadb aws linux server installation administration vmserver setting grafana zabbix aws cloudwatch installation administration database mysql postgresql server office administrator linux software development linux sysadmin
Network & System Administration,software analyze develop technological application application software maintenance monitoring application software application software report application software management engineeringinformation apisautomation application
Program & Project Management,management management monitoring control manage financial financial banking network manage emv europay mastercard visa tokenization mobile development financial pci dss security psd revise directive issuing platform issuing platform financial manage authorization management financial security management security financial security pmp management security pci management financial management electronic scrum agile
Business/System Analyst,application programming programming database database programming application design development testing software development analyst application design development testing analyst programming software development
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Engineering - Software,monitor analyze design develop software maintain software installation maintenance security monitor troubleshoot engage programmer programming php framework windows report report ssrs sql server reporting microsoft sql database iis web server analytical logical
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor handson architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro cctv control network internet network troubleshoot mobile engineering troubleshooting manage monitor configuring testing maintain application software management monitor application developer maintain security backup rd
Network & System Administration,server engineering scienceinformation manage server hardware hp manage virtualization maintenance hardware platform server analysis monitor hardware utilization hypervisor architecture hyperv vmware xen kvm vmware hp troubleshooting manage virtualization server hardware storage script python powershell javascript vro engineer troubleshooting engineer linux
Business/System Analyst,erp management oracle netsuite decisionmaking erp maintenance erp application software develop report develop develop creative develop
Program & Project Management,maintain management management report report database education telecommunication electronic engineering chinese telecommunications office excel office software have management
Business/System Analyst,analyst programming sql query
Testing & Quality Assurance,
Business/System Analyst,nan
Network & System Administration,
Business/System Analyst,nan
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
